year,month,"co2, total","consumption, fossil fuel","consumption, nuclear","consumption, primary","consumption, renewable",gdp chained,"production, fossil fuel","production, nuclear","production, primary","production, renewable"
1985,10,1085.9859999999999,15.529278999999999,1.067777,18.042233,1.405592,7712.6,14.46047,1.067777,16.933837,1.405592
1986,1,1250.928,18.057242,1.062424,20.673771000000002,1.51963,7784.1,14.718156,1.062424,17.300210999999997,1.51963
1986,4,1166.777,16.908751,0.9941180000000001,19.505914,1.577557,7819.8,14.265124,0.9941180000000001,16.836798,1.577557
1986,7,1110.529,15.805672,1.048924,18.469417,1.585776,7898.6,13.779503000000002,1.048924,16.414204,1.585776
1986,10,1083.4029999999998,15.443665,1.16675,18.082250000000002,1.437074,7939.5,13.947808,1.16675,16.551633,1.437074
1987,1,1236.287,17.834173,1.204575,20.618861,1.545932,7995.0,14.335176,1.204575,17.085684,1.545932
1987,4,1180.506,17.214016,1.1215330000000001,19.809972,1.429316,8084.7,14.02188,1.1215330000000001,16.57273,1.429316
1987,7,1155.251,16.46218,1.158394,19.106137,1.4435959999999999,8158.0,13.799414,1.158394,16.401406,1.4435959999999999
1987,10,1149.693,16.407829,1.2270370000000002,19.001205,1.3288419999999999,8292.7,14.516946999999998,1.2270370000000002,17.072826,1.3288419999999999
1988,1,1295.46,18.691761,1.30302,21.41975,1.3939199999999998,8339.3,14.810839999999999,1.30302,17.507782,1.3939199999999998
1988,4,1263.426,18.314264,1.338233,21.054738999999998,1.3717540000000001,8449.5,14.534002000000001,1.338233,17.243989,1.3717540000000001
1988,7,1178.4470000000001,16.807389,1.426582,19.644604,1.382705,8498.3,13.955379,1.426582,16.764668,1.382705
1988,10,1201.556,17.139204,1.461983,19.915762,1.2861280000000002,8610.9,14.580200999999999,1.461983,17.328312,1.2861280000000002
1989,1,1325.527,19.060696999999998,1.376988,21.883341,1.430182,8697.7,14.825312,1.376988,17.632481,1.430182
1989,4,1290.696,18.711505000000002,1.183771,21.431213,1.524247,8766.1,14.301624,1.183771,17.009642,1.524247
1989,7,1199.5059999999999,17.120142,1.4143729999999999,20.185276,1.6339349999999997,8831.5,13.978186999999998,1.4143729999999999,17.026495999999998,1.6339349999999997
1989,10,1204.569,17.261608000000003,1.5169899999999998,20.299789,1.5121630000000001,8850.2,14.615091,1.5169899999999998,17.644245,1.5121630000000001
1990,1,1378.4789999999998,19.85452,1.5800109999999998,22.994993,1.566437,8947.1,14.73282,1.5800109999999998,17.879268,1.566437
1990,4,1251.874,18.054788000000002,1.423975,21.076802999999998,1.606726,8981.7,14.510829000000001,1.423975,17.541529,1.606726
1990,7,1226.034,17.491872,1.512401,20.534306,1.528531,8983.9,14.303474999999999,1.512401,17.344409000000002,1.528531
1990,10,1240.48,17.722287,1.562307,20.699524,1.405003,8907.4,14.834333,1.562307,17.801643999999996,1.405003
1991,1,1333.432,19.228048,1.5923980000000002,22.387895999999998,1.557969,8865.6,14.767018,1.5923980000000002,17.917385,1.557969
1991,4,1215.4660000000001,17.596557,1.4532390000000002,20.537838999999998,1.477137,8934.4,14.397787000000001,1.4532390000000002,17.328162,1.477137
1991,7,1204.84,17.186202,1.695239,20.451481,1.553762,8977.3,14.014769999999999,1.695239,17.26377,1.553762
1991,10,1221.606,17.477063,1.65646,20.628696,1.4710860000000001,9016.4,14.635755,1.65646,17.763301,1.4710860000000001
1992,1,1347.268,19.469071,1.652925,22.672883000000002,1.531929,9123.0,14.775970000000001,1.652925,17.960823,1.531929
1992,4,1280.3020000000001,18.563953,1.475433,21.433563,1.377931,9223.5,14.299264,1.475433,17.152628,1.377931
1992,7,1224.366,17.510723,1.600609,20.573150000000002,1.440096,9313.2,14.198191,1.600609,17.238896,1.440096
1992,10,1225.588,17.507194,1.658178,20.613026,1.4223810000000001,9406.5,14.414691000000001,1.658178,17.495251,1.4223810000000001
1993,1,1355.357,19.637114000000004,1.759789,23.029882999999998,1.608416,9424.1,14.445334,1.759789,17.814309,1.609186
1993,4,1312.598,19.084699999999998,1.48236,22.134239,1.5479669999999999,9480.1,13.919,1.48236,16.949486999999998,1.5481260000000001
1993,7,1232.991,17.571767,1.675274,20.79651,1.533799,9526.3,13.599431,1.675274,16.81018,1.535474
1993,10,1262.478,18.084671999999998,1.5822370000000001,21.131344000000002,1.432625,9653.5,13.947506,1.5822370000000001,16.962493000000002,1.43275
1994,1,1425.21,20.655983,1.644253,23.882762,1.550362,9748.2,14.232192000000001,1.644253,17.423416,1.54697
1994,4,1327.883,19.338827000000002,1.484006,22.38481,1.522466,9881.4,14.464489,1.484006,17.469408,1.5209129999999997
1994,7,1271.927,18.205123999999998,1.666036,21.438777,1.529176,9939.7,14.240078,1.666036,17.436388,1.530275
1994,10,1266.424,18.252866,1.739576,21.424317000000002,1.3929880000000001,10052.5,14.673713,1.739576,17.807548,1.394258
1995,1,1368.3899999999999,19.950407,1.8756280000000003,23.373013999999998,1.510936,10086.9,14.852055,1.8756280000000003,18.239831,1.512147
1995,4,1314.1280000000002,19.234372,1.60819,22.442551,1.564511,10122.1,14.229166999999999,1.60819,17.402912999999998,1.565555
1995,7,1282.693,18.463183,1.8156619999999999,22.008627999999998,1.693441,10208.8,14.20034,1.8156619999999999,17.711047,1.6950440000000002
1995,10,1306.688,18.798066,1.803464,22.277236,1.640751,10281.2,14.492853,1.803464,17.93659,1.6402709999999998
1996,1,1452.981,21.139124,1.8436629999999998,24.759343,1.7529020000000002,10348.7,14.411623000000002,1.8436629999999998,18.00187,1.7465829999999998
1996,4,1383.331,20.170399000000003,1.698617,23.657674,1.7576349999999998,10529.4,14.458833,1.698617,17.912746,1.7552969999999999
1996,7,1321.345,18.98608,1.828448,22.666947,1.813936,10626.8,14.54099,1.828448,18.182055000000002,1.812619
1996,10,1333.991,19.167944,1.750659,22.634064,1.6747359999999998,10739.1,14.857420000000001,1.750659,18.284958,1.676881
1997,1,1479.181,21.443054999999998,1.7661239999999998,25.024243000000006,1.787556,10820.9,14.69593,1.7661239999999998,18.251292999999997,1.7892390000000002
1997,4,1366.876,19.942223,1.531647,23.295243,1.7957949999999998,10984.2,14.496995,1.531647,17.824691,1.7960479999999999
1997,7,1354.809,19.501031,1.642088,23.033349,1.8583509999999999,11124.0,14.711307000000001,1.642088,18.214657,1.8612639999999998
1997,10,1364.4940000000001,19.620927000000002,1.685872,22.999861000000003,1.661839,11210.3,14.852953,1.685872,18.200293000000002,1.661468
1998,1,1485.468,21.552732,1.7264489999999997,24.963571,1.660107,11321.2,14.940764999999999,1.7264489999999997,18.326971999999998,1.659758
1998,4,1378.042,20.036406000000003,1.5968649999999998,23.323713,1.670391,11431.0,14.731281,1.5968649999999998,17.998169,1.670023
1998,7,1400.536,20.060153000000003,1.7701179999999999,23.565690000000004,1.709149,11580.6,14.825810999999998,1.7701179999999999,18.307012999999998,1.711084
1998,10,1397.545,20.074161,1.83597,23.449610999999997,1.510804,11770.7,14.769995999999999,1.83597,18.116341,1.5103769999999999
1999,1,1471.1219999999998,21.326745,1.944001,24.886725,1.605424,11864.7,14.603504999999998,1.944001,18.153370000000002,1.605864
1999,4,1405.837,20.451548,1.72275,23.833655,1.6461100000000002,11962.5,14.342801000000001,1.72275,17.714976,1.6494250000000001
1999,7,1398.798,20.057563000000002,1.9350429999999998,23.794658000000002,1.775832,12113.1,14.174621000000002,1.9350429999999998,17.885552,1.775887
1999,10,1403.1889999999999,20.254313,1.927197,23.701468000000002,1.485099,12323.3,14.460021000000001,1.927197,17.873175,1.485956
2000,1,1491.024,21.62451,2.07679,25.249824999999998,1.516666,12359.1,14.495156999999999,2.07679,18.085279999999997,1.5133330000000003
2000,4,1430.0300000000002,20.780310999999998,1.931182,24.3652,1.6246230000000002,12592.5,14.197281,1.931182,17.754951000000002,1.6264880000000002
2000,7,1431.573,20.543376,2.088368,24.258992,1.592171,12607.7,14.254033,2.088368,17.936498999999998,1.5941
2000,10,1442.401,20.6888,1.855971,23.995412,1.4184160000000001,12679.3,14.634219000000002,1.855971,17.905466,1.4152770000000001
2001,1,1587.2489999999998,22.975266,1.966358,26.367435,1.4105699999999999,12643.3,14.388004,1.966358,17.759984,1.405621
2001,4,1449.9,21.009379000000003,1.873643,24.183793,1.285158,12710.3,14.342973,1.873643,17.501831000000003,1.285215
2001,7,1408.195,20.000315,2.07504,23.425978999999998,1.324576,12670.1,14.628117999999999,2.07504,18.029357,1.326198
2001,10,1407.05,20.14584,2.007447,23.421234,1.253666,12705.3,14.886911999999999,2.007447,18.148649,1.254289
2002,1,1465.025,21.154837,2.095823,24.596413,1.3244960000000001,12822.3,14.720136,2.095823,18.143602,1.327642
2002,4,1420.366,20.671228999999997,1.912306,23.974385,1.373317,12893.0,14.010266999999999,1.912306,17.298905,1.3763319999999999
2002,7,1427.8490000000002,20.423066000000002,2.0865709999999997,24.116247,1.5860469999999998,12955.8,14.168007,2.0865709999999997,17.841046000000002,1.5864669999999998
2002,10,1430.5320000000002,20.397092999999998,2.044037,23.806831,1.345594,12964.0,14.168943,2.044037,17.559988999999998,1.347009
2003,1,1562.757,22.571909,2.083224,26.078561999999998,1.413923,13031.2,14.198832999999999,2.083224,17.696697,1.4146400000000001
2003,4,1462.49,21.166916,1.851475,24.482433,1.4567340000000002,13152.1,13.779848999999999,1.851475,17.086506,1.455182
2003,7,1402.891,19.895458,2.043082,23.578843000000003,1.6297490000000001,13372.4,13.975567000000002,2.043082,17.649956,1.631307
2003,10,1433.3429999999998,20.369476000000002,2.007525,23.778305,1.3999009999999998,13528.7,14.17802,2.007525,17.586098,1.4005519999999998
2004,1,1568.1280000000002,22.533851,2.074589,26.112175,1.505188,13606.5,14.00749,2.074589,17.58167,1.4995910000000001
2004,4,1487.51,21.545624999999998,1.9396840000000002,24.958422999999996,1.476645,13706.2,13.881376,1.9396840000000002,17.294594,1.473533
2004,7,1454.351,20.626728,2.133846,24.354895,1.581648,13830.8,13.992588000000001,2.133846,17.704673,1.578239
2004,10,1444.1709999999998,20.57613,2.080708,24.132176,1.456774,13950.4,13.882890000000002,2.080708,17.418355,1.454758
2005,1,1586.0570000000002,22.837164,2.058897,26.493994999999998,1.58243,14099.1,14.062647000000002,2.058897,17.700465,1.5789209999999998
2005,4,1477.1599999999999,21.319988,1.8572890000000002,24.724687000000003,1.526847,14172.7,14.020978,1.8572890000000002,17.406492999999998,1.528226
2005,7,1470.99,20.889417,2.089129,24.691799,1.6930930000000002,14291.8,13.979325,2.089129,17.757303999999998,1.6888530000000002
2005,10,1467.415,20.695571,2.080481,24.259762000000002,1.4590239999999999,14373.4,13.311974,2.080481,16.847089999999998,1.454636
2006,1,1551.5029999999997,22.172382999999996,2.1555809999999997,25.953082000000002,1.606104,14546.1,13.673055000000002,2.1555809999999997,17.431582,1.602946
2006,4,1450.486,20.890567,1.919035,24.483823,1.6584029999999998,14589.6,13.565045999999999,1.919035,17.144287,1.660208
2006,7,1461.348,20.791785,2.121995,24.734325000000005,1.800275,14602.6,14.097338,2.121995,17.997808999999997,1.778476
2006,10,1474.201,20.96009,2.047011,24.536641000000003,1.517836,14716.9,14.144423999999999,2.047011,17.69031,1.498875
2007,1,1549.397,22.202388,2.1524400000000004,26.039347999999997,1.667899,14726.0,14.142496,2.1524400000000004,17.944896,1.649961
2007,4,1496.729,21.602913,1.959675,25.221871,1.633801,14838.7,13.682234000000001,1.959675,17.271183999999998,1.6292750000000003
